Country,Year,Consumption,Month,Type,Region
Angola,1990,20,April,Arabica/Robusta,Africa & Middle East
Bolivia,1990,25,April,Arabica,Central & South America
Brazil,1990,"8,200",April,Arabica/Robusta,Central & South America
Burundi,1990,2,April,Arabica/Robusta,Africa & Middle East
Ecuador,1990,350,April,Arabica/Robusta,Central & South America
Indonesia,1990,"1,242",April,Arabica/Robusta,Southeast Asia
Madagascar,1990,350,April,Robusta,Africa & Middle East
Malawi,1990,2,April,Arabica,Africa & Middle East
Papua New Guinea,1990,3,April,Arabica/Robusta,Southeast Asia
Paraguay,1990,15,April,Arabica,Central & South America
Peru,1990,190,April,Arabica,Central & South America
Rwanda,1990,1,April,Arabica,Africa & Middle East
Timor-Leste,1990,0,April,Arabica,Southeast Asia
Zimbabwe,1990,8,April,Arabica,Africa & Middle East
Congo,1990,3,July,Robusta,Africa & Middle East
Cuba,1990,213,July,Arabica,Central & South America
Dominican Republic,1990,320,July,Arabica/Robusta,Central & South America
Haiti,1990,220,July,Arabica,Central & South America
Philippines,1990,720,July,Arabica/Robusta,Southeast Asia
Tanzania,1990,4,July,Arabica/Robusta,Africa & Middle East
Zambia,1990,2,July,Arabica,Africa & Middle East
Cameroon,1990,83,October,Arabica/Robusta,Africa & Middle East
Central African Republic,1990,28,October,Robusta,Africa & Middle East
Colombia,1990,"1,235",October,Arabica,Central & South America
Costa Rica,1990,375,October,Arabica,Central & South America
Cote d'Ivoire,1990,50,October,Robusta,Africa & Middle East
Democratic Republic of Congo,1990,200,October,Arabica/Robusta,Africa & Middle East
El Salvador,1990,180,October,Arabica,Central & South America
Equatorial Guinea,1990,0,October,Robusta,Africa & Middle East
Ethiopia,1990,"1,200",October,Arabica,Africa & Middle East
Gabon,1990,2,October,Robusta,Africa & Middle East
Ghana,1990,17,October,Robusta,Africa & Middle East
Guatemala,1990,300,October,Arabica/Robusta,Central & South America
Guinea,1990,25,October,Robusta,Africa & Middle East
Guyana,1990,0,October,Robusta,Central & South America
Honduras,1990,188,October,Arabica,Central & South America
India,1990,903,October,Arabica/Robusta,Southeast Asia
Jamaica,1990,7,October,Arabica,Central & South America
Kenya,1990,50,October,Arabica,Africa & Middle East
Laos,1990,0,October,Robusta,Southeast Asia
Liberia,1990,3,October,Robusta,Africa & Middle East
Mexico,1990,"1,374",October,Arabica/Robusta,Central & South America
Nepal,1990,0,October,Arabica,Southeast Asia
Nicaragua,1990,34,October,Arabica,Central & South America
Nigeria,1990,28,October,Robusta,Africa & Middle East
Panama,1990,63,October,Arabica,Central & South America
Sierra Leone,1990,9,October,Robusta,Africa & Middle East
Sri Lanka,1990,67,October,Arabica/Robusta,Southeast Asia
Thailand,1990,188,October,Arabica/Robusta,Southeast Asia
Togo,1990,1,October,Robusta,Africa & Middle East
Trinidad & Tobago,1990,8,October,Robusta,Central & South America
Uganda,1990,70,October,Arabica/Robusta,Africa & Middle East
Venezuela,1990,782,October,Arabica,Central & South America
Vietnam,1990,150,October,Arabica/Robusta,Southeast Asia
Yemen,1990,0,October,Arabica,Africa & Middle East
Angola,1995,10,April,Arabica/Robusta,Africa & Middle East
Bolivia,1995,31,April,Arabica,Central & South America
Brazil,1995,"10,100",April,Arabica/Robusta,Central & South America
Burundi,1995,2,April,Arabica/Robusta,Africa & Middle East
Ecuador,1995,350,April,Arabica/Robusta,Central & South America
Indonesia,1995,"1,443",April,Arabica/Robusta,Southeast Asia
Madagascar,1995,167,April,Robusta,Africa & Middle East
Malawi,1995,2,April,Arabica,Africa & Middle East
Papua New Guinea,1995,2,April,Arabica/Robusta,Southeast Asia
Paraguay,1995,20,April,Arabica,Central & South America
Peru,1995,200,April,Arabica,Central & South America
Rwanda,1995,1,April,Arabica,Africa & Middle East
Timor-Leste,1995,0,April,Arabica,Southeast Asia
Zimbabwe,1995,7,April,Arabica,Africa & Middle East
Congo,1995,3,July,Robusta,Africa & Middle East
Cuba,1995,194,July,Arabica,Central & South America
Dominican Republic,1995,350,July,Arabica/Robusta,Central & South America
Haiti,1995,330,July,Arabica,Central & South America
Philippines,1995,810,July,Arabica/Robusta,Southeast Asia
Tanzania,1995,14,July,Arabica/Robusta,Africa & Middle East
Zambia,1995,1,July,Arabica,Africa & Middle East
Cameroon,1995,100,October,Arabica/Robusta,Africa & Middle East
Central African Republic,1995,10,October,Robusta,Africa & Middle East
Colombia,1995,"1,359",October,Arabica,Central & South America
Costa Rica,1995,375,October,Arabica,Central & South America
Cote d'Ivoire,1995,50,October,Robusta,Africa & Middle East
Democratic Republic of Congo,1995,200,October,Arabica/Robusta,Africa & Middle East
El Salvador,1995,270,October,Arabica,Central & South America
Equatorial Guinea,1995,0,October,Robusta,Africa & Middle East
Ethiopia,1995,"1,555",October,Arabica,Africa & Middle East
Gabon,1995,1,October,Robusta,Africa & Middle East
Ghana,1995,28,October,Robusta,Africa & Middle East
Guatemala,1995,310,October,Arabica/Robusta,Central & South America
Guinea,1995,50,October,Robusta,Africa & Middle East
