Country,Year,Export,Type,Month
Angola,1990,84,Arabica/Robusta,April
Bolivia,1990,156,Arabica,April
Brazil,1990,"16,936",Arabica/Robusta,April
Burundi,1990,585,Arabica/Robusta,April
Cameroon,1990,"2,611",Arabica/Robusta,October
Central African Republic,1990,197,Robusta,October
Colombia,1990,"13,944",Arabica,October
Congo,1990,2,Robusta,July
Costa Rica,1990,"2,266",Arabica,October
Cote d'Ivoire,1990,"4,283",Robusta,October
Cuba,1990,182,Arabica,July
Democratic Republic of Congo,1990,"1,839",Arabica/Robusta,October
Dominican Republic,1990,535,Arabica/Robusta,July
Ecuador,1990,"1,784",Arabica/Robusta,April
El Salvador,1990,"2,510",Arabica,October
Equatorial Guinea,1990,7,Robusta,October
Ethiopia,1990,"1,074",Arabica,October
Gabon,1990,2,Robusta,October
Ghana,1990,11,Robusta,October
Guatemala,1990,"3,240",Arabica/Robusta,October
Guinea,1990,122,Robusta,October
Guyana,1990,0,Robusta,October
Haiti,1990,191,Arabica,July
Honduras,1990,"1,735",Arabica,October
India,1990,"1,979",Arabica/Robusta,October
Indonesia,1990,"6,903",Arabica/Robusta,April
Jamaica,1990,15,Arabica,October
Kenya,1990,"1,969",Arabica,October
Laos,1990,98,Robusta,October
Liberia,1990,22,Robusta,October
Madagascar,1990,863,Robusta,April
Malawi,1990,124,Arabica,April
Mexico,1990,"3,683",Arabica/Robusta,October
Nepal,1990,0,Arabica,October
Nicaragua,1990,671,Arabica,October
Nigeria,1990,4,Robusta,October
Panama,1990,132,Arabica,October
Papua New Guinea,1990,"1,051",Arabica/Robusta,April
Paraguay,1990,263,Arabica,April
Peru,1990,"1,105",Arabica,April
Philippines,1990,168,Arabica/Robusta,July
Sierra Leone,1990,140,Robusta,October
Sri Lanka,1990,19,Arabica/Robusta,October
Tanzania,1990,"1,019",Arabica/Robusta,July
Thailand,1990,"1,001",Arabica/Robusta,October
Timor-Leste,1990,0,Arabica,April
Togo,1990,239,Robusta,October
Trinidad & Tobago,1990,30,Robusta,October
Uganda,1990,"2,353",Arabica/Robusta,October
Venezuela,1990,278,Arabica,October
Vietnam,1990,"1,145",Arabica/Robusta,October
Yemen,1990,50,Arabica,October
Zambia,1990,24,Arabica,July
Zimbabwe,1990,251,Arabica,April
Angola,1995,41,Arabica/Robusta,April
Bolivia,1995,94,Arabica,April
Brazil,1995,"14,468",Arabica/Robusta,April
Burundi,1995,528,Arabica/Robusta,April
Cameroon,1995,407,Arabica/Robusta,October
Central African Republic,1995,232,Robusta,October
Colombia,1995,"9,814",Arabica,October
Congo,1995,19,Robusta,July
Costa Rica,1995,"2,067",Arabica,October
Cote d'Ivoire,1995,"2,494",Robusta,October
Cuba,1995,122,Arabica,July
Democratic Republic of Congo,1995,"1,051",Arabica/Robusta,October
Dominican Republic,1995,451,Arabica/Robusta,July
Ecuador,1995,"1,540",Arabica/Robusta,April
El Salvador,1995,"1,807",Arabica,October
Equatorial Guinea,1995,3,Robusta,October
Ethiopia,1995,"1,276",Arabica,October
Gabon,1995,3,Robusta,October
Ghana,1995,38,Robusta,October
Guatemala,1995,"3,701",Arabica/Robusta,October
Guinea,1995,152,Robusta,October
