Year,Type,Price,,,,
1990,ICO composite indicator,71.53,,,,
1990,Colombian Milds,96.53,,,,
1990,Other Milds,89.46,,,,
1990,Brazilian Naturals,82.97,,,,
1990,Robustas,53.60,,,,
1995,ICO composite indicator,138.42,,,,
1995,Colombian Milds,158.33,,,,
1995,Other Milds,151.15,,,,
1995,Brazilian Naturals,145.95,,,,
1995,Robustas,125.68,,,,
2000,ICO composite indicator,64.24,,,,
2000,Colombian Milds,102.60,,,,
2000,Other Milds,87.07,,,,
2000,Brazilian Naturals,79.86,,,,
2000,Robustas,41.41,,,,
2005,ICO composite indicator,89.36,,,,
2005,Colombian Milds,115.73,,,,
2005,Other Milds,114.86,,,,
2005,Brazilian Naturals,102.29,,,,
2005,Robustas,50.55,,,,
2010,ICO composite indicator,147.24,,,,
2010,Colombian Milds,225.46,,,,
2010,Other Milds,195.96,,,,
2010,Brazilian Naturals,153.68,,,,
2010,Robustas,78.74,,,,
2015,ICO composite indicator,124.67,,,,
2015,Colombian Milds,151.80,,,,
2015,Other Milds,159.94,,,,
2015,Brazilian Naturals,132.45,,,,
2015,Robustas,88.05,,,,
