Country,Quarter,Amount
Belgium,2021 Q1,1655
Belgium,2021 Q2,659
Belgium,2021 Q3,1008
Belgium,2021 Q4,905
Belgium,2022 Q1,507
Belgium,2022 Q2,683
Belgium,2022 Q3,522
Bugaria,2021 Q1,6
Bugaria,2021 Q2,11
Bugaria,2021 Q3,135
Bugaria,2021 Q4,58
Bugaria,2022 Q1,57
Bugaria,2022 Q2,33
Bugaria,2022 Q3,28
Denmark,2021 Q1,9
Denmark,2021 Q2,23
Denmark,2021 Q3,5
Denmark,2021 Q4,2
Denmark,2022 Q1,5
Denmark,2022 Q2,5
Denmark,2022 Q3,0
Germany,2021 Q1,882
Germany,2021 Q2,1152
Germany,2021 Q3,737
Germany,2021 Q4,405
Germany,2022 Q1,414
Germany,2022 Q2,396
Germany,2022 Q3,549
Estonia,2021 Q1,8
Estonia,2021 Q2,8
Estonia,2021 Q3,6
Estonia,2021 Q4,19
Estonia,2022 Q1,22
Estonia,2022 Q2,2
Estonia,2022 Q3,0
Ireland,2021 Q1,48
Ireland,2021 Q2,40
Ireland,2021 Q3,65
Ireland,2021 Q4,79
Ireland,2022 Q1,53
Ireland,2022 Q2,71
Ireland,2022 Q3,25
Greece,2021 Q1,1283
Greece,2021 Q2,1542
Greece,2021 Q3,1316
Greece,2021 Q4,1210
Greece,2022 Q1,916
Greece,2022 Q2,923
Greece,2022 Q3,688
Spain,2021 Q1,3908
Spain,2021 Q2,3051
Spain,2021 Q3,3433
Spain,2021 Q4,3133
Spain,2022 Q1,2629
Spain,2022 Q2,2313
Spain,2022 Q3,2148
France,2021 Q1,1780
France,2021 Q2,363
France,2021 Q3,391
France,2021 Q4,265
France,2022 Q1,229
France,2022 Q2,151
France,2022 Q3,212
Croatia,2021 Q1,280
Croatia,2021 Q2,116
Croatia,2021 Q3,83
Croatia,2021 Q4,55
Croatia,2022 Q1,46
Croatia,2022 Q2,38
Croatia,2022 Q3,19
Italy,2021 Q1,3847
Italy,2021 Q2,2294
Italy,2021 Q3,2722
Italy,2021 Q4,1977
Italy,2022 Q1,2740
Italy,2022 Q2,2316
Italy,2022 Q3,1704
Cyprus,2021 Q1,35
Cyprus,2021 Q2,7
Cyprus,2021 Q3,72
Cyprus,2021 Q4,54
Cyprus,2022 Q1,23
Cyprus,2022 Q2,8
Cyprus,2022 Q3,19
Latvia,2021 Q1,4
Latvia,2021 Q2,11
Latvia,2021 Q3,11
Latvia,2021 Q4,4
Latvia,2022 Q1,2
Latvia,2022 Q2,2
Latvia,2022 Q3,12
Lithuania,2021 Q1,5
Lithuania,2021 Q2,7
Lithuania,2021 Q3,26
Lithuania,2021 Q4,30
Lithuania,2022 Q1,7
Lithuania,2022 Q2,1
Lithuania,2022 Q3,3
Netherlands,2021 Q1,1874
Netherlands,2021 Q2,978
Netherlands,2021 Q3,4871
Netherlands,2021 Q4,966
Netherlands,2022 Q1,576
Netherlands,2022 Q2,760
Netherlands,2022 Q3,2545
Poland,2021 Q1,136
Poland,2021 Q2,156
Poland,2021 Q3,106
Poland,2021 Q4,56
Poland,2022 Q1,88
Poland,2022 Q2,84
Poland,2022 Q3,55
Portugal,2021 Q1,825
Portugal,2021 Q2,477
Portugal,2021 Q3,148
Portugal,2021 Q4,159
Portugal,2022 Q1,121
Portugal,2022 Q2,148
Portugal,2022 Q3,112
Romania,2021 Q1,166
Romania,2021 Q2,70
Romania,2021 Q3,96
Romania,2021 Q4,68
Romania,2022 Q1,110
Romania,2022 Q2,28
Romania,2022 Q3,16
Slovenia,2021 Q1,250
Slovenia,2021 Q2,267
Slovenia,2021 Q3,356
Slovenia,2021 Q4,226
Slovenia,2022 Q1,173
Slovenia,2022 Q2,276
Slovenia,2022 Q3,431
Finland,2021 Q1,11
Finland,2021 Q2,16
Finland,2021 Q3,13
Finland,2021 Q4,18
