Port,Quarter,Ship Type,Amount
Cirkewwa,2021 Q1,Liquid bulk tanker,0
Marsaxlokk,2021 Q1,Liquid bulk tanker,5
Mgarr,2021 Q1,Liquid bulk tanker,0
Valletta,2021 Q1,Liquid bulk tanker,0
Cirkewwa,2021 Q2,Liquid bulk tanker,0
Marsaxlokk,2021 Q2,Liquid bulk tanker,5
Mgarr,2021 Q2,Liquid bulk tanker,0
Valletta,2021 Q2,Liquid bulk tanker,1
Cirkewwa,2021 Q3,Liquid bulk tanker,0
Marsaxlokk,2021 Q3,Liquid bulk tanker,2
Mgarr,2021 Q3,Liquid bulk tanker,0
Valletta,2021 Q3,Liquid bulk tanker,1
Cirkewwa,2021 Q4,Liquid bulk tanker,0
Marsaxlokk,2021 Q4,Liquid bulk tanker,2
Mgarr,2021 Q4,Liquid bulk tanker,0
Valletta,2021 Q4,Liquid bulk tanker,1
Cirkewwa,2022 Q1,Liquid bulk tanker,0
Marsaxlokk,2022 Q1,Liquid bulk tanker,11
Mgarr,2022 Q1,Liquid bulk tanker,0
Valletta,2022 Q1,Liquid bulk tanker,0
Cirkewwa,2022 Q2,Liquid bulk tanker,0
Marsaxlokk,2022 Q2,Liquid bulk tanker,28
Mgarr,2022 Q2,Liquid bulk tanker,0
Valletta,2022 Q2,Liquid bulk tanker,3
Cirkewwa,2022 Q3,Liquid bulk tanker,0
Marsaxlokk,2022 Q3,Liquid bulk tanker,20
Mgarr,2022 Q3,Liquid bulk tanker,0
Valletta,2022 Q3,Liquid bulk tanker,1
Cirkewwa,2021 Q1,Dry bulk carrier,0
Marsaxlokk,2021 Q1,Dry bulk carrier,74
Mgarr,2021 Q1,Dry bulk carrier,0
Valletta,2021 Q1,Dry bulk carrier,23
Cirkewwa,2021 Q2,Dry bulk carrier,0
Marsaxlokk,2021 Q2,Dry bulk carrier,97
Mgarr,2021 Q2,Dry bulk carrier,0
Valletta,2021 Q2,Dry bulk carrier,37
Cirkewwa,2021 Q3,Dry bulk carrier,0
Marsaxlokk,2021 Q3,Dry bulk carrier,40
Mgarr,2021 Q3,Dry bulk carrier,0
Valletta,2021 Q3,Dry bulk carrier,20
Cirkewwa,2021 Q4,Dry bulk carrier,0
Marsaxlokk,2021 Q4,Dry bulk carrier,16
Mgarr,2021 Q4,Dry bulk carrier,0
Valletta,2021 Q4,Dry bulk carrier,96
Cirkewwa,2022 Q1,Dry bulk carrier,0
Marsaxlokk,2022 Q1,Dry bulk carrier,22
Mgarr,2022 Q1,Dry bulk carrier,0
Valletta,2022 Q1,Dry bulk carrier,105
Cirkewwa,2022 Q2,Dry bulk carrier,0
