LAU CODE,POPULATION
MT01101,5859
MT01103,2455
MT01104,2732
MT01105,5142
MT01108,15648
MT01117,12947
MT01118,2029
MT01129,3113
MT01133,6330
MT01134,5733
MT01145,9094
MT01157,2958
MT01162,8915
MT01165,1946
MT01206,17240
MT01214,25790
MT01221,13021
MT01227,10122
MT01241,15566
MT01246,3910
MT01247,5311
MT01252,15104
MT01253,15111
MT01258,7983
MT01259,24412
MT01260,15847
MT01261,2189
MT01310,11516
MT01315,13422
MT01320,3227
MT01326,4989
MT01331,2478
MT01335,15579
MT01336,3774
MT01340,3373
MT01349,2861
MT01351,2403
MT01367,11209
MT01402,244
MT01407,12609
MT01409,8861
MT01412,11774
MT01413,4741
MT01416,3748
MT01428,3534
MT01432,3303
MT01450,11501
MT01468,2612
MT01524,2922
MT01537,11693
MT01538,3985
MT01539,21495
MT01544,15388
MT01555,31789
MT02611,6624
MT02619,958
MT02622,3013
MT02623,1314
MT02625,423
MT02630,1822
MT02642,1344
MT02643,4232
MT02648,1962
MT02654,728
MT02656,1913
MT02663,4313
MT02664,3260
MT02666,2657
